name_2019,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Moscow, ID Micro Area",-117,39505,16.96,4.15,19.62,4.85,1.07,1.42,34.25,19.1,10.2,12,3.4,49158,66546
"Moses Lake, WA Micro Area",610,95502,10.7,6.64,3.45,0.39,0.22,0.75,23.41,20.4,14.3,13.8,4.5,55556,71451
"Moultrie, GA Micro Area",312,45486,9.86,6.06,2.95,0.51,0.12,0.09,19.98,13.3,9.6,9.3,3,36435,55000
"Mount Airy, NC Micro Area",-24,71971,8.3,5.09,3.31,0.56,0.44,0.44,27.15,17.5,11.7,10.6,2.5,43597,61976
"Mount Gay-Shamrock, WV Micro Area",-55,33154,8.71,4.64,2.31,0.51,0.09,0.04,27.76,16,9.7,10.7,2.1,36168,53008
"Mount Pleasant, MI Micro Area",2068,70688,15.52,3.78,23.24,2.37,0.88,0.55,27.34,17.6,10.8,10.6,3.7,45116,63637
"Mount Pleasant, TX Micro Area",106,45518,9.26,6.33,3.66,0.46,0.27,0.43,19.73,19.6,13,11.7,2.7,49600,62163
"Mount Sterling, KY Micro Area",-109,46682,8.88,5.31,2.88,0.76,0.15,0.55,24.12,20.3,13.1,9.1,1.9,44688,56101
"Mount Vernon-Anacortes, WA Metro Area",660,125612,9.33,4.96,3.67,0.53,0.49,1.47,31.86,18.6,16.1,16.2,6.6,67028,84676
"Mount Vernon, IL Micro Area",56,37985,10.17,4.74,3.36,0.71,0.32,0.73,26.69,19.3,11.7,12.4,3.5,49896,66359
"Mount Vernon, OH Micro Area",433,61481,9.14,4.61,7.79,0.7,0.64,0.98,27.8,20.4,15.3,14.3,4.5,57749,68356
"Mountain Home, AR Micro Area",291,41427,6.69,4.28,3.35,0.4,0.53,0.42,32.44,19.3,8.7,8.7,2.8,42260,59206
"Mountain Home, ID Micro Area",703,26743,15.68,4.88,5.28,0.47,0.44,0.8,31.17,20.2,12.5,9.1,3.4,46855,56989
"Muncie, IN Metro Area",929,115020,12.46,4.24,14.11,1.6,0.63,0.39,29.94,17.6,11.1,10.4,2.3,43512,60528
"Murray, KY Micro Area",647,38837,12.12,3.74,16.57,1.92,0.93,0.88,29.54,17.3,10.6,9.2,3.9,42273,57431
"Muscatine, IA Micro Area",-322,42889,9.52,5.71,3.12,0.71,0.21,1.44,28.07,19.9,15,15.4,5.2,58453,74538
"Muskegon, MI Metro Area",-325,173297,9.89,5.28,3.88,0.53,0.6,0.97,27.06,20.5,12.3,12,3.4,50854,65499
"Muskogee, OK Micro Area",716,68736,9.63,5.13,4.46,0.65,0.4,0.41,24.12,17.6,9.5,11,3.5,43078,60950
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",-366,463987,7.83,4.1,4.1,0.57,0.72,1.05,31.32,20.6,12.8,12,3.7,52660,69436
"Nacogdoches, TX Micro Area",20,65339,12,5.05,15.34,1.01,0.56,0.43,25.69,17.2,10.6,10.5,2.9,44847,63497
"Napa, CA Metro Area",-88,139623,9.54,5.34,5.94,1.04,0.66,1.48,29.84,14.9,13.1,18.6,10.9,88596,123451
"Naples-Marco Island, FL Metro Area",2178,371453,7.57,4.17,3.15,0.72,0.83,2.25,31.34,17.5,12.9,14.8,7.5,69653,112784
