"METRO","migration_net","population","male_20_34_p","enrolled_9_12_p","enrolled_college_p","enrolled_grad_p","occ_com_sci_math_p","occ_eng_p","mult_desktop_laptop_p","inc_50_74","inc_75_99","inc_100_149","inc_150_199","median_income","mean_income"
"Gainesville, FL Metro Area","-1699","323799","14.14","3.8","14.09","3.91","0.88","1.85","29.65","16.7","10.8","11","4.4","46843","68079"
"Gainesville, GA Metro Area","426","198667","10","5.87","4.74","0.73","0.69","1","25.31","18.9","14.1","15.3","6.2","62984","86265"
"Gettysburg, PA Metro Area","-580","102470","8.8","4.84","5.55","0.83","0.59","0.73","29.53","19.2","16.2","17.5","6.5","67253","80678"
"Glens Falls, NY Metro Area","-222","125892","9.29","4.92","3.14","0.64","0.69","1.08","31.73","19.4","14.2","15.4","5.7","59395","75967"
"Goldsboro, NC Metro Area","176","123603","10.77","5.61","5.43","0.9","0.34","0.26","27.12","17.2","11.8","10.6","2.6","44416","62307"
"Grand Forks, ND-MN Metro Area","249","101745","14.99","4.03","11.58","1.72","0.57","0.94","33.26","16.8","13.2","16","5","55609","73332"
"Grand Island, NE Metro Area","-389","75480","9.5","5.99","2.43","0.68","0.33","0.66","27","19.3","15.4","13.8","4.5","57086","72456"
"Grand Junction, CO Metro Area","553","151218","10.01","5.2","5.6","0.71","0.61","1.07","32.8","19.3","13.7","13.4","4.4","55379","71408"
"Grand Rapids-Kentwood, MI Metro Area","2758","1062392","11.05","5.57","5.77","1.03","0.84","1.43","29.32","19.8","14.4","15.9","5.8","63302","83235"
"Grants Pass, OR Metro Area","190","86251","7.76","4.66","3.5","0.49","0.24","0.6","32.62","19.5","12.7","8.6","2.7","45616","60155"
"Great Falls, MT Metro Area","232","81625","11.44","4.49","4.19","0.7","0.5","0.85","30.56","19.3","11","12","3.7","49913","69845"
"Greeley, CO Metro Area","1629","305345","11.05","5.47","5.65","0.94","0.78","1.36","28.13","17.7","16.3","19.3","7.8","74150","89427"
"Green Bay, WI Metro Area","176","319401","9.77","5.2","5.2","0.8","0.77","1.22","31.64","19.2","14.6","16.4","5.5","62405","79316"
"Greensboro-High Point, NC Metro Area","2361","762063","9.54","5.35","6.69","1.02","0.9","1.31","28.83","18.2","12.2","11.9","4.3","50891","71256"
"Greenville-Anderson, SC Metro Area","3047","895942","10","4.94","5.86","1.17","0.73","2.1","28.26","18","13","13.4","5","54886","75557"
"Greenville, NC Metro Area","2965","178433","12.47","4.35","14.41","2.51","0.75","0.69","28.19","17.7","10.6","12.3","4.5","47437","67261"
"Gulfport-Biloxi, MS Metro Area","-123","412115","9.89","5.3","4.91","0.71","0.75","1.01","26.77","17.9","12.6","12","3.6","49068","65481"
"Hagerstown-Martinsburg, MD-WV Metro Area","1591","283147","9.77","5.13","4.03","0.99","0.79","0.89","28.2","19.1","14","16","6.2","61138","77324"
"Hammond, LA Metro Area","194","132057","10.53","4.63","6.5","0.5","0.31","0.3","23.86","16.5","12.1","12.3","4.5","47832","64903"
"Hanford-Corcoran, CA Metro Area","1252","150691","15.04","7.78","5.95","0.68","0.25","0.57","20.44","20","13.7","14","4.9","57848","72812"
"Harrisburg-Carlisle, PA Metro Area","2681","571013","9.95","4.86","4.75","1.24","1.2","1.54","31.49","19","14.7","16.5","6.3","64916","84613"
"Harrisonburg, VA Metro Area","786","133557","11.53","4.26","14.69","1.45","0.81","0.77","26.37","18.6","14.1","14","4.6","56500","74889"
"Hartford-East Hartford-Middletown, CT Metro Area","4158","1207677","10.14","5.28","6.66","1.6","1.46","2.55","31.38","14.9","13.2","18.1","9.6","77769","103274"
"Hattiesburg, MS Metro Area","362","168177","10.72","5.01","7.05","1.79","0.49","0.69","24.57","17.3","10.1","12.6","3.7","46800","64768"
"Hickory-Lenoir-Morganton, NC Metro Area","563","366678","8.96","5.08","3.89","0.56","0.44","0.68","26.85","19","12.8","10.4","3","48114","64886"
"Hilton Head Island-Bluffton, SC Metro Area","769","214752","9.52","4.37","3.26","0.67","0.9","1.58","30.5","17.6","13.7","15","6.7","64959","91650"
"Hinesville, GA Metro Area","766","80041","15.6","4.93","5.93","1.17","0.36","0.25","28.62","23.6","12.8","9.8","2.4","50160","59334"
"Homosassa Springs, FL Metro Area","-189","145169","6.33","3.92","2.51","0.4","0.54","1.03","34.78","20","9.8","9.1","2.6","44237","58601"
"Hot Springs, AR Metro Area","14","98555","8.24","4.17","3.73","0.41","0.5","0.87","28.47","19","11.2","8.8","3.8","44777","63652"
"Houma-Thibodaux, LA Metro Area","687","210162","10.26","5.11","3.63","0.6","0.33","0.53","24.55","16.2","12.4","13.5","5.3","51837","71103"
"Houston-The Woodlands-Sugar Land, TX Metro Area","36047","6884138","10.95","5.95","5.21","1.23","1.02","2.95","26.77","16.8","12.3","15.8","7.8","67516","97410"
"Huntington-Ashland, WV-KY-OH Metro Area","-914","361832","9.24","4.8","4.76","1.07","0.37","0.72","26.44","17.5","11.3","10.7","3.4","45441","63021"
"Huntsville, AL Metro Area","2062","457003","10.31","5.41","6.29","1.59","2.23","4.75","31.71","16.1","12.5","16.4","8","64483","86328"
"Idaho Falls, ID Metro Area","907","145507","9.75","6.57","4.23","0.87","0.63","2.34","28.13","20.5","13.3","15.6","5.2","61007","80168"
"Indianapolis-Carmel-Anderson, IN Metro Area","3590","2029472","10.22","5.65","4.37","1.16","1.06","1.64","29.83","17.9","13.3","15.1","6.4","61552","85193"
"Iowa City, IA Metro Area","871","170677","14.91","4.05","14.61","3.92","1.37","1.75","34.27","16.7","12.5","16.1","6.4","62544","85405"
"Ithaca, NY Metro Area","951","102642","15.31","3.35","20.96","6.44","1.86","2.7","33.36","19","11.4","13.5","6.2","60240","83950"
"Jackson, MI Metro Area","442","158636","10.14","5.27","5.08","0.55","0.55","1.15","28.65","19.3","13.1","13","4.6","53658","70566"
"Jackson, MS Metro Area","624","597727","10.23","5.37","5.54","1.49","0.7","0.84","24.81","17.8","12.2","12.7","5.1","52504","72438"
"Jackson, TN Metro Area","-444","178442","9.14","5.3","5.46","0.66","0.45","0.55","25.77","18.6","11.2","11.2","3.3","46875","62953"
"Jacksonville, FL Metro Area","8914","1503574","10.38","5","5.18","1.11","1.2","1.42","30.01","18.8","13.6","14.7","6.1","61723","84690"
"Jacksonville, NC Metro Area","3812","195069","23.16","4.2","6.23","1.4","0.56","0.58","27.29","20.3","13.4","11.8","3.4","50278","63254"
